scenario	green35	green36	green37	green38	green39	green40	nonzero_count	mean	range	range_MR	exclude_from_limits	range_mean	range_MR_bar	range_UCL	flag	note
Test step must have a valid object name validation	581235	207491	207707	191854	245804	147459	=COUNTIF(B2:G2,">0")	=IFERROR(AVERAGEIF(B2:G2,">0"),"")	=IF(H2>=2,MAX(B2:G2)-MIN(FILTER(B2:G2,B2:G2>0)),"")		FALSE	=AVERAGEIFS(J:J,L:L,FALSE)	=AVERAGEIFS(K:K,L:L,FALSE)	=$M$2+2.66*$N$2	=IF(AND(ISNUMBER(J2),J2>$O$2),"out","")
Test step must have a valid step definition name validation	146896	121188	160811	142016	168034	165012	=COUNTIF(B3:G3,">0")	=IFERROR(AVERAGEIF(B3:G3,">0"),"")	=IF(H3>=2,MAX(B3:G3)-MIN(FILTER(B3:G3,B3:G3>0)),"")	=IF(AND(ISNUMBER(J3),ISNUMBER(J2)),ABS(J3-J2),"")	FALSE				=IF(AND(ISNUMBER(J3),J3>$O$2),"out","")
This object doesn't exist validation	337623	446116	523211	250717	266276	249957	=COUNTIF(B4:G4,">0")	=IFERROR(AVERAGEIF(B4:G4,">0"),"")	=IF(H4>=2,MAX(B4:G4)-MIN(FILTER(B4:G4,B4:G4>0)),"")	=IF(AND(ISNUMBER(J4),ISNUMBER(J3)),ABS(J4-J3),"")	FALSE				=IF(AND(ISNUMBER(J4),J4>$O$2),"out","")
This object step definition doesn't exist validation	163892	263724	194323	188816	174668	152591	=COUNTIF(B5:G5,">0")	=IFERROR(AVERAGEIF(B5:G5,">0"),"")	=IF(H5>=2,MAX(B5:G5)-MIN(FILTER(B5:G5,B5:G5>0)),"")	=IF(AND(ISNUMBER(J5),ISNUMBER(J4)),ABS(J5-J4),"")	FALSE				=IF(AND(ISNUMBER(J5),J5>$O$2),"out","")
This object step definition text parameter doesn't exist validation	209906	262028	211012	256945	264306	306035	=COUNTIF(B6:G6,">0")	=IFERROR(AVERAGEIF(B6:G6,">0"),"")	=IF(H6>=2,MAX(B6:G6)-MIN(FILTER(B6:G6,B6:G6>0)),"")	=IF(AND(ISNUMBER(J6),ISNUMBER(J5)),ABS(J6-J5),"")	FALSE				=IF(AND(ISNUMBER(J6),J6>$O$2),"out","")
This object exists validation	0	0	0	0	0	0	=COUNTIF(B7:G7,">0")	=IFERROR(AVERAGEIF(B7:G7,">0"),"")	=IF(H7>=2,MAX(B7:G7)-MIN(FILTER(B7:G7,B7:G7>0)),"")	=IF(AND(ISNUMBER(J7),ISNUMBER(J6)),ABS(J7-J6),"")	FALSE				=IF(AND(ISNUMBER(J7),J7>$O$2),"out","")	Consistently covered transitively by the "doesn't exist" counterpart
This object step definition exists validation	0	0	0	0	0	0	=COUNTIF(B8:G8,">0")	=IFERROR(AVERAGEIF(B8:G8,">0"),"")	=IF(H8>=2,MAX(B8:G8)-MIN(FILTER(B8:G8,B8:G8>0)),"")	=IF(AND(ISNUMBER(J8),ISNUMBER(J7)),ABS(J8-J7),"")	FALSE				=IF(AND(ISNUMBER(J8),J8>$O$2),"out","")	Consistently covered transitively by the "doesn't exist" counterpart
This object step definition text parameter exists validation	0	214140	0	157787	217803	0	=COUNTIF(B9:G9,">0")	=IFERROR(AVERAGEIF(B9:G9,">0"),"")	=IF(H9>=2,MAX(B9:G9)-MIN(FILTER(B9:G9,B9:G9>0)),"")	=IF(AND(ISNUMBER(J9),ISNUMBER(J8)),ABS(J9-J8),"")	FALSE				=IF(AND(ISNUMBER(J9),J9>$O$2),"out","")	Several runs zero because the preceding scenario over-engineered the implementation
This object step definition text parameter exists with other parameters validation	0	159989	111474	149312	132184	109270	=COUNTIF(B10:G10,">0")	=IFERROR(AVERAGEIF(B10:G10,">0"),"")	=IF(H10>=2,MAX(B10:G10)-MIN(FILTER(B10:G10,B10:G10>0)),"")	=IF(AND(ISNUMBER(J10),ISNUMBER(J9)),ABS(J10-J9),"")	FALSE				=IF(AND(ISNUMBER(J10),J10>$O$2),"out","")	Run green35 zero because the preceding scenario over-engineered the implementation
Without Path Resolution	0	0	0	0	0	0	=COUNTIF(B11:G11,">0")	=IFERROR(AVERAGEIF(B11:G11,">0"),"")	=IF(H11>=2,MAX(B11:G11)-MIN(FILTER(B11:G11,B11:G11>0)),"")	=IF(AND(ISNUMBER(J11),ISNUMBER(J10)),ABS(J11-J10),"")	FALSE				=IF(AND(ISNUMBER(J11),J11>$O$2),"out","")	Section folder in scenarios graph (path-resolution Issues); no scenario body required
The first step needs to have a component specified validation	0	0	0	0	0	0	=COUNTIF(B12:G12,">0")	=IFERROR(AVERAGEIF(B12:G12,">0"),"")	=IF(H12>=2,MAX(B12:G12)-MIN(FILTER(B12:G12,B12:G12>0)),"")	=IF(AND(ISNUMBER(J12),ISNUMBER(J11)),ABS(J12-J11),"")	FALSE				=IF(AND(ISNUMBER(J12),J12>$O$2),"out","")	Consistently covered transitively
