timestamp	scenario	phase_green_ms	MR	exclude_from_limits	mean	MR_bar	UCL_X	UCL_MR	flag	note
2026-04-26T23:52:01.166-04:00	Green phase invokes claude with rendered template path	256251		FALSE	=AVERAGEIFS(C:C,E:E,FALSE)	=AVERAGEIFS(D:D,E:E,FALSE)	=$F$2+2.66*$G$2	=3.268*$G$2	=IF(OR(C2>$H$2,AND(ISNUMBER(D2),D2>$I$2)),"out","")	First main-branch data point; no prior MR
2026-04-27T19:01:10.407-04:00	Green failure still records a metrics row with red SHA	727648	=IF(AND(ISNUMBER(C3),ISNUMBER(C2)),ABS(C3-C2),"")	FALSE					=IF(OR(C3>$H$2,AND(ISNUMBER(D3),D3>$I$2)),"out","")
2026-04-27T19:21:58.631-04:00	Refactor failure still records a metrics row with red SHA	709075	=IF(AND(ISNUMBER(C4),ISNUMBER(C3)),ABS(C4-C3),"")	FALSE					=IF(OR(C4>$H$2,AND(ISNUMBER(D4),D4>$I$2)),"out","")
2026-04-28T13:03:16.871-04:00	Active scenarios-list file is allowlisted automatically	582932	=IF(AND(ISNUMBER(C5),ISNUMBER(C4)),ABS(C5-C4),"")	FALSE					=IF(OR(C5>$H$2,AND(ISNUMBER(D5),D5>$I$2)),"out","")
2026-04-28T13:14:41.560-04:00	Non-matching scenarios-list-shaped file is treated as a violation	574767	=IF(AND(ISNUMBER(C6),ISNUMBER(C5)),ABS(C6-C5),"")	FALSE					=IF(OR(C6>$H$2,AND(ISNUMBER(D6),D6>$I$2)),"out","")
2026-04-29T22:16:48.276-04:00	The asciidoctor-to-uml command fails non-retryably	1199263	=IF(AND(ISNUMBER(C7),ISNUMBER(C6)),ABS(C7-C6),"")	FALSE					=IF(OR(C7>$H$2,AND(ISNUMBER(D7),D7>$I$2)),"out","")
2026-04-29T22:30:17.316-04:00	The uml-to-cucumber-guice command fails non-retryably	519156	=IF(AND(ISNUMBER(C8),ISNUMBER(C7)),ABS(C8-C7),"")	FALSE					=IF(OR(C8>$H$2,AND(ISNUMBER(D8),D8>$I$2)),"out","")
2026-04-29T22:48:05.768-04:00	Asciidoctor-to-uml retries on Service-not-available then succeeds	1028115	=IF(AND(ISNUMBER(C9),ISNUMBER(C8)),ABS(C9-C8),"")	FALSE					=IF(OR(C9>$H$2,AND(ISNUMBER(D9),D9>$I$2)),"out","")
2026-04-30T00:15:45.264-04:00	Asciidoctor-to-uml exhausts retries on Service-not-available	598188	=IF(AND(ISNUMBER(C10),ISNUMBER(C9)),ABS(C10-C9),"")	FALSE					=IF(OR(C10>$H$2,AND(ISNUMBER(D10),D10>$I$2)),"out","")
2026-04-30T00:26:26.940-04:00	Uml-to-cucumber-guice retries on Service-not-available then succeeds	495805	=IF(AND(ISNUMBER(C11),ISNUMBER(C10)),ABS(C11-C10),"")	FALSE					=IF(OR(C11>$H$2,AND(ISNUMBER(D11),D11>$I$2)),"out","")
2026-04-30T00:39:27.991-04:00	Uml-to-cucumber-guice exhausts retries on Service-not-available	489390	=IF(AND(ISNUMBER(C12),ISNUMBER(C11)),ABS(C12-C11),"")	FALSE					=IF(OR(C12>$H$2,AND(ISNUMBER(D12),D12>$I$2)),"out","")
2026-04-30T11:14:47.706-04:00	Flag on shares the green session across same-tag scenarios	587456	=IF(AND(ISNUMBER(C13),ISNUMBER(C12)),ABS(C13-C12),"")	FALSE					=IF(OR(C13>$H$2,AND(ISNUMBER(D13),D13>$I$2)),"out","")
2026-04-30T11:27:47.765-04:00	Flag default off keeps a fresh green session per scenario	541000	=IF(AND(ISNUMBER(C14),ISNUMBER(C13)),ABS(C14-C13),"")	FALSE					=IF(OR(C14>$H$2,AND(ISNUMBER(D14),D14>$I$2)),"out","")
2026-04-30T12:07:22.697-04:00	Flag on shares the green session across same-tag scenarios	518169	=IF(AND(ISNUMBER(C15),ISNUMBER(C14)),ABS(C15-C14),"")	FALSE					=IF(OR(C15>$H$2,AND(ISNUMBER(D15),D15>$I$2)),"out","")
2026-04-30T15:58:22.768-04:00	Scaffolding is removed at the end of a successful run	1280102	=IF(AND(ISNUMBER(C16),ISNUMBER(C15)),ABS(C16-C15),"")	FALSE					=IF(OR(C16>$H$2,AND(ISNUMBER(D16),D16>$I$2)),"out","")
2026-04-30T23:00:55.715-04:00	Input tag matches no test case	617082	=IF(AND(ISNUMBER(C17),ISNUMBER(C16)),ABS(C17-C16),"")	FALSE					=IF(OR(C17>$H$2,AND(ISNUMBER(D17),D17>$I$2)),"out","")
2026-04-30T23:12:15.216-04:00	Two test cases in the same file	427668	=IF(AND(ISNUMBER(C18),ISNUMBER(C17)),ABS(C18-C17),"")	FALSE					=IF(OR(C18>$H$2,AND(ISNUMBER(D18),D18>$I$2)),"out","")
2026-04-30T23:30:15.841-04:00	Test cases in different files	845912	=IF(AND(ISNUMBER(C19),ISNUMBER(C18)),ABS(C19-C18),"")	FALSE					=IF(OR(C19>$H$2,AND(ISNUMBER(D19),D19>$I$2)),"out","")
2026-04-30T23:40:01.485-04:00	Suite level tag selects all test cases	332875	=IF(AND(ISNUMBER(C20),ISNUMBER(C19)),ABS(C20-C19),"")	FALSE					=IF(OR(C20>$H$2,AND(ISNUMBER(D20),D20>$I$2)),"out","")
2026-04-30T23:47:32.221-04:00	File with no matching test cases is excluded	215825	=IF(AND(ISNUMBER(C21),ISNUMBER(C20)),ABS(C21-C20),"")	FALSE					=IF(OR(C21>$H$2,AND(ISNUMBER(D21),D21>$I$2)),"out","")
2026-05-01T00:01:43.891-04:00	CSV input with two tags	580668	=IF(AND(ISNUMBER(C22),ISNUMBER(C21)),ABS(C22-C21),"")	FALSE					=IF(OR(C22>$H$2,AND(ISNUMBER(D22),D22>$I$2)),"out","")
2026-05-01T13:33:17.652-04:00	Two test cases in the same file	266181	=IF(AND(ISNUMBER(C23),ISNUMBER(C22)),ABS(C23-C22),"")	FALSE					=IF(OR(C23>$H$2,AND(ISNUMBER(D23),D23>$I$2)),"out","")
